,mean,std
p_mean,2.585332785763176,0.7915891812456951
pet_mean,2.863343440109514,0.41063987862077717
aridity,1.2959517731220662,0.7167815184525097
p_seasonality,0.04135231813524073,0.5320865641002995
frac_snow,0.09009846018671294,0.08547522589263559
high_prec_freq,22.709999999999997,2.8612157478169227
high_prec_dur,1.364304684880319,0.21946379065407529
low_prec_freq,280.22999999999996,36.110941709004365
low_prec_dur,8.792281631191832,7.680579173329165
elev_mean,621.14,522.2527673880192
slope_mean,38.951994,49.63854917890781
area_gages2,346.01800000000003,223.9981910046002
frac_forest,0.4979799999999999,0.32721553481187626
lai_max,2.3010825439893274,1.3260120869991976
lai_diff,1.7536812606379548,1.3324801423784778
gvf_max,0.6407017145371807,0.1639437500979095
gvf_diff,0.29876298544599833,0.1717953000777532
soil_depth_pelletier,9.877415922944618,17.26430788048564
soil_depth_statsgo,1.2049688069006188,0.36959124695824536
soil_porosity,0.4523779078218829,0.015808528478761182
soil_conductivity,1.0735861508208364,0.8151552332386663
max_water_content,0.4958675306269189,0.23223112617456682
sand_frac,22.70044211445978,8.431426400550254
silt_frac,35.16567353275786,17.590371899418876
clay_frac,23.628844700909713,10.023818732147562
carbonate_rocks_frac,0.39794041889175513,0.4598280577121243
geol_porostiy,0.07652999999999999,0.0617768034495509
