,mean,std
p_mean,2.100967602099018,0.3415272650728837
pet_mean,3.1506393862651154,0.4947664131831741
aridity,1.5234357268113417,0.2851388190641071
p_seasonality,0.3077030930741018,0.21476280445476803
frac_snow,0.14340901616064192,0.17796435405927927
high_prec_freq,25.133333333333336,2.3485456492618293
high_prec_dur,1.4578146235689415,0.10531102505045906
low_prec_freq,288.9,14.515508947329419
low_prec_dur,7.563572045152068,1.3636526108698164
elev_mean,967.4399999999999,964.6480588069412
slope_mean,25.188963333333334,26.62877925702841
area_gages2,790.8850000000001,358.90815180210103
frac_forest,0.29356666666666664,0.36836184203397976
lai_max,1.845949068850952,0.6914057685365381
lai_diff,1.2995778675378082,0.6488450633140406
gvf_max,0.6105412363247352,0.11721640876995452
gvf_diff,0.26965894114238914,0.1541542573248959
soil_depth_pelletier,10.543227997777,15.274771503842732
soil_depth_statsgo,1.3216485453945477,0.23525494749422032
soil_porosity,0.44505386311905865,0.021056908692175105
soil_conductivity,1.1881083250768198,0.525020459609738
max_water_content,0.5349270076765448,0.16901329142687788
sand_frac,31.102023270586532,16.02581247367999
silt_frac,33.94044517481197,19.039351712653474
clay_frac,21.947028456200115,4.662361233580252
carbonate_rocks_frac,0.2601517535205116,0.3625715983858648
geol_porostiy,0.13748333333333332,0.04998605472195887
