,mean,std
convective_fraction,0.06000876426696777,0.20232734084129333
longwave_radiation,302.3240661621094,66.55757904052734
potential_energy,170.7475128173828,448.5816955566406
potential_evaporation,0.17938746511936188,0.24937039613723755
pressure,93697.765625,8395.1806640625
shortwave_radiation,181.797607421875,255.85780334472656
specific_humidity,0.006874569226056337,0.00438303267583251
temperature,10.491339683532715,11.095970153808594
total_precipitation,0.1295960396528244,0.6176615357398987
wind_u,1.014938235282898,3.0017449855804443
wind_v,0.5544506907463074,3.497655153274536
qobs_mm_per_hour,0.06713389605283737,0.12985385954380035
qobs_count,2.7466466426849365,1.3596757650375366
utcoffset_hours,-5.4046711921691895,0.9628896713256836
rel_deviation_from_camels,inf,
qobs_CAMELS_mm_per_hour,0.0624539814889431,0.11689024418592453
