,mean,std
convective_fraction,0.05737548694014549,0.19919916987419128
longwave_radiation,303.4559631347656,68.4128189086914
potential_energy,201.20835876464844,505.77008056640625
potential_evaporation,0.17998738586902618,0.25588366389274597
pressure,92056.0234375,9367.5615234375
shortwave_radiation,187.00921630859375,257.2270202636719
specific_humidity,0.007148568518459797,0.004583671689033508
temperature,11.030345916748047,11.147012710571289
total_precipitation,0.14238427579402924,0.6913123726844788
wind_u,0.979120135307312,3.058485746383667
wind_v,0.5499631762504578,3.2167513370513916
qobs_mm_per_hour,0.07922796905040741,0.16725315153598785
qobs_count,2.936089038848877,1.6900336742401123
utcoffset_hours,-5.834471225738525,1.1458567380905151
rel_deviation_from_camels,inf,
qobs_CAMELS_mm_per_hour,0.07394729554653168,0.16587811708450317
