,mean,std
convective_fraction,0.061445657163858414,0.20976699888706207
longwave_radiation,315.8912048339844,65.77979278564453
potential_energy,237.7228240966797,545.1292114257812
potential_evaporation,0.22643302381038666,0.2892912030220032
pressure,94723.7265625,5426.44580078125
shortwave_radiation,194.7664031982422,263.93701171875
specific_humidity,0.007466980721801519,0.0045125726610422134
temperature,14.140756607055664,10.871405601501465
total_precipitation,0.09911905229091644,0.5768452882766724
wind_u,0.686414361000061,3.075463056564331
wind_v,1.0559953451156616,3.3553783893585205
qobs_mm_per_hour,0.03163161128759384,0.08475430309772491
qobs_count,3.38901948928833,1.0888347625732422
utcoffset_hours,-5.423356056213379,0.9368927478790283
rel_deviation_from_camels,inf,
qobs_CAMELS_mm_per_hour,0.03096291609108448,0.07791903614997864
