,mean,std
convective_fraction,0.058521024882793427,0.2023819535970688
longwave_radiation,302.4588928222656,73.81916809082031
potential_energy,219.07347106933594,527.2911376953125
potential_evaporation,0.1930621862411499,0.2671869993209839
pressure,90643.484375,11119.2705078125
shortwave_radiation,194.8697967529297,265.7638854980469
specific_humidity,0.007303802762180567,0.004790601320564747
temperature,11.499567031860352,11.618218421936035
total_precipitation,0.1364789605140686,0.6971226930618286
wind_u,1.2077796459197998,3.3534207344055176
wind_v,0.5729073882102966,3.25162672996521
qobs_mm_per_hour,0.07060623914003372,0.18314656615257263
qobs_count,3.191592216491699,1.4070909023284912
utcoffset_hours,-5.650492191314697,1.1962984800338745
rel_deviation_from_camels,inf,
qobs_CAMELS_mm_per_hour,0.06711792200803757,0.18278828263282776
