,mean,std
p_mean,3.519590965092404,0.8986780106122642
pet_mean,2.621466566735113,0.48793030384213765
aridity,0.8206205753949272,0.3857182843014026
p_seasonality,-0.11546703111268494,0.5445653058301253
frac_snow,0.22651178942105504,0.20132040183973132
high_prec_freq,19.4,5.242242946593673
high_prec_dur,1.3288278283022212,0.18111912509529662
low_prec_freq,243.55499999999998,30.4751579159157
low_prec_dur,5.3454960510523035,2.142119753864107
elev_mean,820.1820000000001,602.5277364164335
slope_mean,60.048401999999996,46.12000304442502
area_gages2,606.0649999999999,671.2297109907059
frac_forest,0.8701700000000001,0.29117525478652884
lai_max,3.796696559319396,1.505991825561693
lai_diff,2.9068788141266544,1.4817156797295552
gvf_max,0.7838909720515297,0.1528136849566424
gvf_diff,0.3351495247351473,0.15173345879275402
soil_depth_pelletier,5.801139618767339,11.22081289018984
soil_depth_statsgo,1.2243133991203237,0.2521224354590842
soil_porosity,0.4387603148408571,0.01605021034073776
soil_conductivity,1.6408995285494457,0.8428907278581563
max_water_content,0.5131088087932612,0.1024125394208132
sand_frac,40.76566952160617,14.6779073517196
silt_frac,35.89138453145957,4.616907314135668
clay_frac,20.8353412640647,9.042227848563517
carbonate_rocks_frac,0.1545262665226139,0.3317250646089793
geol_porostiy,0.07866,0.053837310482601194
